name,short_code,type,region,district,latitude,longitude,zone
Momella,105282-8,public,Arusha,Meru DC,-3.213285,36.861852,northern
2001 GEM PLUS,113310-7,private,Mwanza,Nyamagana MC,-2.56352,32.91265,lake
23KJ,108548-9,public,Kagera,Biharamulo DC,-2.63157,31.33744,lake
24KJ,110967-7,public,Kigoma,Kigoma Ujiji MC,-4.841438,29.643383,central
2D,124115-7,private,Mbeya,Mbeya DC,-8.94805,33.22692,shighland
361 KJ,111824-9,public,Dar Es Salaam,Kinondoni MC,,,coastal
3D,124953-1,private,Dar Es Salaam,Ilala MC,-6.90509,39.21507,coastal
3LN,124920-0,private,Dar Es Salaam,Ilala MC,-6.93857,39.13599,coastal
43KJ,124627-1,public,Ruvuma,Tunduru DC,-11.06869,37.34556,shighland
4REVERSHINE,121016-0,private,Dar Es Salaam,Ubungo MC,,,coastal
511KJ GONGO LA MBOTO,100019-9,public,Dar Es Salaam,Ilala MC,-6.88878,39.15133,coastal
512KJ,100020-7,public,Mwanza,Nyamagana MC,-2.58227,32.91911,lake
514KJ,100021-5,public,Njombe,Makambako TC,-8.83274,34.839154,shighland
692KJ-RADA,122733-9,public,Tabora,Tabora MC,,32.82896,central
821KJ,100542-0,public,Kigoma,Kigoma DC,-5.034967,29.789642,central
830KJKIBITI,121505-2,public,Pwani,Kibiti DC,-7.84931,38.97116,coastal
909 Dental Centre,110841-4,private,Dar Es Salaam,Ilala MC,-6.809073,39.27917,coastal
A AND A,100024-9,private,Mbeya,Mbarali DC,-8.67632,34.304,shighland
A TO Z,121333-9,private,Arusha,Arusha CC,-3.38333,36.59226,northern
A1 EYE SOLUTIONS,113180-4,private,Dar Es Salaam,Ubungo MC,-6.78826,39.10833,coastal
A2Z HEALTHCARE,112328-0,private,Kilimanjaro,Moshi MC,-3.35422,37.34398,northern
AABY-GILLAH,125036-4,private,Dar Es Salaam,Temeke MC,-6.16141,39.31971,coastal
Abbas Medical Centre,109828-4,private,Dar Es Salaam,Ilala MC,-6.81513,39.27406,coastal
